                       trigger     Log(Pbol[0.001,20000]Kev)     Log(Sbol[0.001,20000]Kev)                      Log(Epk)                  Log(EPR1024)                      Log(EFR)                  Log(FPR1024)                      Log(T90)
                          6131                 -0.622175E+01                 -0.574465E+01                  0.266600E+01                  0.888775E+01                  0.841065E+01                  0.477100E+00                  0.100217E+01
                          6435                 -0.656429E+01                 -0.635479E+01                  0.235200E+01                  0.891629E+01                  0.870679E+01                  0.209500E+00                  0.162839E+01
                          6408                 -0.660148E+01                 -0.595298E+01                  0.252200E+01                  0.912348E+01                  0.847498E+01                  0.648500E+00                  0.851500E+00
                          2767                 -0.677860E+01                 -0.667300E+01                  0.213400E+01                  0.891260E+01                  0.880700E+01                  0.105600E+00                  0.152140E+01
                          3493                 -0.615771E+01                 -0.520981E+01                  0.284100E+01                  0.899871E+01                  0.805081E+01                  0.947900E+00                  0.191913E+01
                          3029                 -0.611680E+01                 -0.484460E+01                  0.299400E+01                  0.911080E+01                  0.783860E+01                  0.127220E+01                  0.165070E+01
                           755                 -0.651757E+01                 -0.599497E+01                  0.238800E+01                  0.890557E+01                  0.838297E+01                  0.522600E+00                  0.810500E+00
                           401                 -0.693142E+01                 -0.656062E+01                  0.208600E+01                  0.901742E+01                  0.864662E+01                  0.370800E+00                  0.703810E+00
                          3840                 -0.682739E+01                 -0.688479E+01                  0.191100E+01                  0.873839E+01                  0.879579E+01                 -0.574000E-01                  0.620030E+00
                          2610                 -0.606534E+01                 -0.502456E+01                  0.281800E+01                  0.888334E+01                  0.784256E+01                  0.104078E+01                  0.168753E+01
                          6536                 -0.655288E+01                 -0.581878E+01                  0.240300E+01                  0.895588E+01                  0.822178E+01                  0.734100E+00                  0.831490E+00
                          2992                 -0.673653E+01                 -0.596093E+01                  0.231700E+01                  0.905353E+01                  0.827793E+01                  0.775600E+00                  0.122608E+01
                          7872                 -0.638008E+01                 -0.520398E+01                  0.268000E+01                  0.906008E+01                  0.788398E+01                  0.117610E+01                  0.156656E+01
                          3080                 -0.627126E+01                 -0.486816E+01                  0.283100E+01                  0.910226E+01                  0.769916E+01                  0.140310E+01                  0.168673E+01
                          6308                 -0.673639E+01                 -0.637628E+01                  0.209700E+01                  0.883339E+01                  0.847328E+01                  0.360110E+00                  0.127600E+01
                          2035                 -0.651923E+01                 -0.612033E+01                  0.220500E+01                  0.872423E+01                  0.832533E+01                  0.398900E+00                  0.703810E+00
                          1611                 -0.658070E+01                 -0.630929E+01                  0.210600E+01                  0.868670E+01                  0.841529E+01                  0.271414E+00                  0.154728E+01
                           690                 -0.697373E+01                 -0.651793E+01                  0.198300E+01                  0.895673E+01                  0.850093E+01                  0.455800E+00                  0.505150E+00
                          7973                 -0.631845E+01                 -0.563189E+01                  0.240900E+01                  0.872745E+01                  0.804089E+01                  0.686560E+00                  0.203423E+01
                          3733                 -0.681576E+01                 -0.647356E+01                  0.197700E+01                  0.879276E+01                  0.845056E+01                  0.342200E+00                  0.110175E+01
                          1204                 -0.622668E+01                 -0.617174E+01                  0.209500E+01                  0.832168E+01                  0.826674E+01                  0.549400E-01                  0.569610E+00
                          3903                 -0.670990E+01                 -0.540570E+01                  0.241800E+01                  0.912790E+01                  0.782370E+01                  0.130420E+01                  0.182236E+01
                          7517                 -0.657441E+01                 -0.645781E+01                  0.184300E+01                  0.841741E+01                  0.830081E+01                  0.116600E+00                  0.168178E+01
                          6233                 -0.672985E+01                 -0.659575E+01                  0.159800E+01                  0.832785E+01                  0.819375E+01                  0.134100E+00                  0.686990E+00
                          2325                 -0.688152E+01                 -0.615542E+01                  0.225000E+01                  0.913152E+01                  0.840542E+01                  0.726100E+00                  0.135276E+01
                          2900                 -0.656655E+01                 -0.533355E+01                  0.263100E+01                  0.919755E+01                  0.796455E+01                  0.123300E+01                  0.125864E+01
                          6425                 -0.597701E+01                 -0.570271E+01                  0.236900E+01                  0.834601E+01                  0.807171E+01                  0.274300E+00                  0.949190E+00
                          6390                 -0.563729E+01                 -0.444069E+01                  0.307500E+01                  0.871229E+01                  0.751569E+01                  0.119660E+01                  0.168296E+01
                          6137                 -0.648943E+01                 -0.624837E+01                  0.246400E+01                  0.895343E+01                  0.871237E+01                  0.241060E+00                  0.923450E+00
                          6188                 -0.659528E+01                 -0.626786E+01                  0.222900E+01                  0.882428E+01                  0.849686E+01                  0.327420E+00                  0.899600E+00
                          1626                 -0.610103E+01                 -0.572935E+01                  0.247600E+01                  0.857703E+01                  0.820535E+01                  0.371680E+00                  0.148202E+01
                          5572                 -0.600920E+01                 -0.585810E+01                  0.235900E+01                  0.836820E+01                  0.821710E+01                  0.151100E+00                  0.130320E+01
                          8073                 -0.604147E+01                 -0.570137E+01                  0.243200E+01                  0.847347E+01                  0.813337E+01                  0.340100E+00                  0.151878E+01
                          7164                 -0.656626E+01                 -0.672146E+01                  0.176500E+01                  0.833126E+01                  0.848646E+01                 -0.155200E+00                  0.135276E+01
                          6534                 -0.640427E+01                 -0.631691E+01                  0.185800E+01                  0.826227E+01                  0.817491E+01                  0.873600E-01                  0.638690E+00
                          3319                 -0.605463E+01                 -0.572173E+01                  0.233100E+01                  0.838563E+01                  0.805273E+01                  0.332900E+00                  0.231450E+01
                          2495                 -0.634196E+01                 -0.520666E+01                  0.258100E+01                  0.892296E+01                  0.778766E+01                  0.113530E+01                  0.158070E+01
                          7903                 -0.604209E+01                 -0.544699E+01                  0.246300E+01                  0.850509E+01                  0.790999E+01                  0.595100E+00                  0.138489E+01
                          1439                 -0.666711E+01                 -0.583801E+01                  0.226700E+01                  0.893411E+01                  0.810501E+01                  0.829100E+00                  0.920120E+00
                          2347                 -0.661433E+01                 -0.585783E+01                  0.225500E+01                  0.886933E+01                  0.811283E+01                  0.756500E+00                  0.108493E+01
