                       trigger        Pbol64[0.001,20000]keV          Sbol[0.001,20000]keV                           Epk                           T90   Log(Pbol64[0.001,20000]keV)     Log(Sbol[0.001,20000]keV)                      Log(Epk)                      Log(T90)                    Log(P64ph)              Log(Eff_Trig_PF)                      Log(EPR)                      Log(EFR)                      Log(ETR)                      Log(FPR)                      Log(TPR)                      Log(TFR)                      Log(EPM)                      Log(EFM)                      Log(ETM)                      Log(FPM)                      Log(TPM)                      Log(TFM)
                          2401                  0.484921E-06                  0.130445E-05                  0.352371E+03                  0.320000E+01                 -0.631433E+01                 -0.588457E+01                  0.254700E+01                  0.505150E+00                 -0.152400E+00                 -0.204229E+00                  0.886133E+01                  0.843157E+01                  0.204185E+01                  0.429757E+00                  0.681948E+01                  0.638972E+01                 -0.376733E+01                 -0.333757E+01                  0.305215E+01                 -0.121989E+02                 -0.580918E+01                 -0.537942E+01
                          7430                  0.122531E-05                  0.104927E-05                  0.208449E+03                  0.390400E+01                 -0.591176E+01                 -0.597911E+01                  0.231900E+01                  0.591510E+00                  0.346500E+00                  0.304663E+00                  0.823076E+01                  0.829811E+01                  0.172749E+01                 -0.673570E-01                  0.650327E+01                  0.657062E+01                 -0.359276E+01                 -0.366011E+01                  0.291051E+01                 -0.118909E+02                 -0.532025E+01                 -0.538760E+01
                          2810                  0.645399E-06                  0.174360E-05                  0.306196E+03                  0.241002E+01                 -0.619017E+01                 -0.575855E+01                  0.248600E+01                  0.382020E+00                 -0.435000E-03                 -0.694180E-01                  0.867617E+01                  0.824455E+01                  0.210398E+01                  0.431620E+00                  0.657219E+01                  0.614057E+01                 -0.370417E+01                 -0.327255E+01                  0.286802E+01                 -0.119487E+02                 -0.580815E+01                 -0.537653E+01
                          6586                  0.637979E-06                  0.122721E-06                  0.618016E+02                  0.684999E+00                 -0.619519E+01                 -0.691108E+01                  0.179100E+01                 -0.164310E+00                  0.104800E+00                 -0.836861E-01                  0.798619E+01                  0.870208E+01                  0.195531E+01                 -0.715886E+00                  0.603088E+01                  0.674677E+01                 -0.440419E+01                 -0.512008E+01                  0.162669E+01                 -0.131063E+02                 -0.635950E+01                 -0.707539E+01
                          2099                  0.592121E-06                  0.114877E-05                  0.244343E+03                  0.256000E+01                 -0.622759E+01                 -0.593977E+01                  0.238800E+01                  0.408240E+00                  0.518000E-02                 -0.598517E-01                  0.861559E+01                  0.832777E+01                  0.197976E+01                  0.287823E+00                  0.663583E+01                  0.634801E+01                 -0.383959E+01                 -0.355177E+01                  0.279624E+01                 -0.121674E+02                 -0.581935E+01                 -0.553153E+01
                          2585                  0.341992E-06                  0.126748E-06                  0.620869E+02                  0.831994E+00                 -0.646598E+01                 -0.689706E+01                  0.179300E+01                 -0.798800E-01                 -0.165600E+00                 -0.331367E+00                  0.825898E+01                  0.869006E+01                  0.187288E+01                 -0.431073E+00                  0.638610E+01                  0.681718E+01                 -0.467298E+01                 -0.510406E+01                  0.171312E+01                 -0.133630E+02                 -0.654586E+01                 -0.697694E+01
                          2365                  0.853938E-06                  0.670923E-06                  0.262422E+03                  0.153600E+01                 -0.606857E+01                 -0.617333E+01                  0.241900E+01                  0.186390E+00                  0.151400E+00                  0.476346E-01                  0.848757E+01                  0.859233E+01                  0.223261E+01                 -0.104754E+00                  0.625496E+01                  0.635972E+01                 -0.364957E+01                 -0.375433E+01                  0.260539E+01                 -0.122419E+02                 -0.588218E+01                 -0.598694E+01
                          2268                  0.125053E-05                  0.854978E-06                  0.134586E+03                  0.195398E+01                 -0.590291E+01                 -0.606805E+01                  0.212900E+01                  0.290920E+00                  0.402800E+00                  0.318792E+00                  0.803191E+01                  0.819705E+01                  0.183808E+01                 -0.165138E+00                  0.619383E+01                  0.635897E+01                 -0.377391E+01                 -0.393905E+01                  0.241992E+01                 -0.119710E+02                 -0.561199E+01                 -0.577713E+01
                          6263                  0.386946E-05                  0.806445E-06                  0.796159E+02                  0.198399E+01                 -0.541235E+01                 -0.609343E+01                  0.190100E+01                  0.297540E+00                  0.902900E+00                  0.820052E+00                  0.731335E+01                  0.799443E+01                  0.160346E+01                 -0.681075E+00                  0.570989E+01                  0.639097E+01                 -0.351135E+01                 -0.419243E+01                  0.219854E+01                 -0.115058E+02                 -0.511481E+01                 -0.579589E+01
                          5556                  0.762254E-06                  0.362560E-06                  0.881049E+02                  0.151098E+01                 -0.611790E+01                 -0.644062E+01                  0.194500E+01                  0.179260E+00                  0.199800E+00                  0.945890E-01                  0.806290E+01                  0.838562E+01                  0.176574E+01                 -0.322721E+00                  0.629716E+01                  0.661988E+01                 -0.417290E+01                 -0.449562E+01                  0.212426E+01                 -0.125585E+02                 -0.593864E+01                 -0.626136E+01
